year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3,12.6000003814697,8.5,10.6999998092651,26,289,6,0,1,0,1,3
2015,AUDI,R8,TWO-SEATER,4.19999980926514,17.2999992370605,10.3999996185303,14.1999998092651,20,327,8,0,0,1,1,2
2015,AUDI,R8,TWO-SEATER,4.19999980926514,20.5,11.6999998092651,16.6000003814697,17,382,8,0,0,1,2,2
2015,AUDI,R8 SPYDER,TWO-SEATER,4.19999980926514,17.2999992370605,10.3999996185303,14.1999998092651,20,327,8,0,0,1,1,2
2015,AUDI,R8 SPYDER,TWO-SEATER,4.19999980926514,20.5,11.6999998092651,16.6000003814697,17,382,8,0,0,1,2,2
2015,AUDI,RS5,SUBCOMPACT,4.19999980926514,14.8999996185303,10.1000003814697,12.8000001907349,22,294,8,0,0,1,1,2
2015,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.19999980926514,14.8000001907349,10.6000003814697,12.8999996185303,22,297,8,0,0,1,1,2
2015,AUDI,RS7,MID-SIZE,4,16.2999992370605,9.10000038146973,13.1000003814697,22,301,8,0,0,1,1,2
2015,AUDI,S3,SUBCOMPACT,2,10.1000003814697,7.69999980926514,9,31,207,4,1,0,0,1,2
2015,AUDI,S4,COMPACT,3,13,8.5,11,26,253,6,0,1,0,1,2
2015,AUDI,S4,COMPACT,3,13.8000001907349,9,11.6999998092651,24,269,6,0,1,0,2,2
2015,AUDI,S5,SUBCOMPACT,3,13,8.5,11,26,253,6,0,1,0,1,2
2015,AUDI,S5,SUBCOMPACT,3,13.8000001907349,9,11.6999998092651,24,269,6,0,1,0,2,2
2015,AUDI,S5 CABRIOLET,SUBCOMPACT,3,13.3000001907349,9.10000038146973,11.3999996185303,25,262,6,0,1,0,1,2
2015,AUDI,S6,MID-SIZE,4,14,8.69999980926514,11.6999998092651,24,269,8,0,0,1,1,2
2015,AUDI,S7,MID-SIZE,4,14,8.69999980926514,11.6999998092651,24,269,8,0,0,1,1,2
